,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
12,2021-06-11,21:00,UEFA Euro,Group stage,Fri,Home,W,3,0,tr Türkiye,1.9,0.6,64.0,12916.0,Giorgio Chiellini,4-3-3,Danny Makkelie,Match Report,,24.0,8.0,18.4,0,0,2021,Italy
13,2021-06-16,21:00,UEFA Euro,Group stage,Wed,Home,W,3,0,ch Switzerland,2.7,0.2,49.0,12445.0,Giorgio Chiellini,4-3-3,Sergey Karasev,Match Report,,13.0,3.0,17.5,0,0,2021,Italy
14,2021-06-20,18:00,UEFA Euro,Group stage,Sun,Home,W,1,0,wls Wales,2.0,0.4,69.0,11541.0,Leonardo Bonucci,4-3-3,Ovidiu Hațegan,Match Report,,23.0,6.0,17.6,0,0,2021,Italy
15,2021-06-26,20:00,UEFA Euro,Round of 16,Sat,Neutral,W,2,1,at Austria,1.9,0.8,51.0,18910.0,Leonardo Bonucci,4-3-3,Anthony Taylor,Match Report,Required Extra Time,27.0,6.0,18.8,0,0,2021,Italy
16,2021-07-02,21:00,UEFA Euro,Quarter-finals,Fri,Neutral,W,2,1,be Belgium,1.7,1.8,54.0,12984.0,Giorgio Chiellini,4-3-3,Slavko Vinčič,Match Report,,14.0,3.0,17.2,0,0,2021,Italy
17,2021-07-06,20:00,UEFA Euro,Semi-finals,Tue,Neutral,W,1 (4),1 (2),es Spain,0.8,1.5,31.0,57811.0,Giorgio Chiellini,4-3-3,Felix Brych,Match Report,Italy won on penalty kicks following extra time,7.0,4.0,15.8,0,0,2021,Italy
18,2021-07-11,20:00,UEFA Euro,Final,Sun,Away,W,1 (3),1 (2),eng England,2.2,0.6,65.0,67173.0,Giorgio Chiellini,4-3-3,Björn Kuipers,Match Report,Italy won on penalty kicks following extra time,19.0,6.0,18.9,0,0,2021,Italy
10,2021-06-13,14:00,UEFA Euro,Group stage,Sun,Home,W,1,0,hr Croatia,1.5,0.4,49.0,18497.0,Harry Kane,4-3-3,Daniele Orsato,Match Report,,8.0,2.0,17.0,0,0,2021,England
11,2021-06-18,20:00,UEFA Euro,Group stage,Fri,Home,D,0,0,sct Scotland,1.4,0.6,60.0,20306.0,Harry Kane,4-3-3,Antonio Matéu Lahoz,Match Report,,9.0,1.0,14.6,0,0,2021,England
12,2021-06-22,20:00,UEFA Euro,Group stage,Tue,Home,W,1,0,cz Czechia,1.5,0.3,56.0,19104.0,Harry Kane,4-2-3-1,Artur Soares Dias,Match Report,,5.0,3.0,14.4,0,0,2021,England
13,2021-06-29,17:00,UEFA Euro,Round of 16,Tue,Home,W,2,0,de Germany,1.3,1.4,46.0,41973.0,Harry Kane,3-4-3,Danny Makkelie,Match Report,,5.0,4.0,13.2,0,0,2021,England
14,2021-07-03,21:00,UEFA Euro,Quarter-finals,Sat,Neutral,W,4,0,ua Ukraine,2.0,0.3,52.0,11880.0,Harry Kane,4-2-3-1,Felix Brych,Match Report,,10.0,6.0,13.4,0,0,2021,England
15,2021-07-07,20:00,UEFA Euro,Semi-finals,Wed,Home,W,2,1,dk Denmark,2.7,0.2,58.0,64950.0,Harry Kane,4-2-3-1,Danny Makkelie,Match Report,Required Extra Time,19.0,9.0,17.0,0,1,2021,England
16,2021-07-11,20:00,UEFA Euro,Final,Sun,Home,L,1 (2),1 (3),it Italy,0.6,2.2,35.0,67173.0,Harry Kane,3-4-3,Björn Kuipers,Match Report,Italy won on penalty kicks following extra time,6.0,2.0,15.7,0,0,2021,England
12,2021-06-14,21:00,UEFA Euro,Group stage,Mon,Home,D,0,0,se Sweden,2.3,1.2,84.0,10559.0,Jordi Alba,4-3-3,Slavko Vinčič,Match Report,,17.0,5.0,17.6,0,0,2021,Spain
13,2021-06-19,21:00,UEFA Euro,Group stage,Sat,Home,D,1,1,pl Poland,2.9,1.3,76.0,11742.0,Jordi Alba,4-3-3,Daniele Orsato,Match Report,,11.0,5.0,17.2,0,1,2021,Spain
14,2021-06-23,18:00,UEFA Euro,Group stage,Wed,Home,W,5,0,sk Slovakia,3.4,0.1,65.0,11204.0,Sergio Busquets,4-3-3,Björn Kuipers,Match Report,,18.0,8.0,14.7,0,1,2021,Spain
15,2021-06-28,18:00,UEFA Euro,Round of 16,Mon,Neutral,W,5,3,hr Croatia,3.6,3.2,66.0,22771.0,Sergio Busquets,4-3-3,Cüneyt Çakιr,Match Report,Required Extra Time,23.0,10.0,15.2,0,0,2021,Spain
